Marital Status,Application Mode,Application Order,Course Name,Daytime/Evening Attendance,Previous Qualification,Nationality,Mother's Qualification,Father's Qualification,Mother's Occupation,Father's Occupation,Displaced Student,Special Educational Needs,Is Debtor,Tuition Fees Up-to-Date,"Gender (1=Male, 0=Female)",Scholarship Holder,Age at Enrollment,International Student,Credited Units (1st Sem),Enrolled Units (1st Sem),Evaluated Units (1st Sem),Approved Units (1st Sem),Average Grade (1st Sem),Not Evaluated Units (1st Sem),Credited Units (2nd Sem),Enrolled Units (2nd Sem),Evaluated Units (2nd Sem),Approved Units (2nd Sem),Average Grade (2nd Sem),Not Evaluated Units (2nd Sem),Unemployment Rate (%),Inflation Rate (%),GDP per Capita (USD),Student Status,Total_Approved_Units,Approval_Rate_1st_Sem,Approval_Rate_2nd_Sem,Grade_Improvement
Single,Short cycle diploma holders,1,Tourism,Daytime,Professional higher technical course,Portuguese,Secondary Education,Secondary Education,Administrative Staff,Skilled Industry Workers,Yes,No,No,Yes,Female,Yes,-0.26936554779295835,No,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,-1.0009723271182625,1.4,1.545606837207885,Graduate,0.311680249174718,0.9999999998333333,0.8333333331944445,0.29037130706450215
Single,1st phase—general contingent,1,Veterinary Nursing,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 1st Cycle,Service/Sales/Security,Service/Sales/Security,Yes,No,No,Yes,Female,Yes,-0.8239760892617984,No,0,5,7,4,13.25,0,0,5,5,5,12.0,0,-0.2876384574425296,1.4,0.7657608350016585,Graduate,-0.02389371586518287,0.79999999984,0.9999999998,-0.2904394258264811
Single,1st phase—general contingent,1,Journalism and Communication,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 1st Cycle,Unskilled Workers,Technicians & Professionals,Yes,No,No,Yes,Female,No,-0.4542357282825717,No,0,6,6,5,13.2,0,0,6,7,0,0.0,0,1.476924272807967,2.8,-1.7896667428492534,Dropout,-0.6950416459449846,0.8333333331944445,0.0,-4.425317537003565
Single,3rd phase—general contingent,1,Social Service,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Service/Sales/Security,Machine Operators,Yes,No,No,Yes,Female,No,-0.8239760892617984,No,0,6,10,1,12.0,0,0,6,14,2,11.0,0,-0.2876384574425296,1.4,0.7657608350016585,Enrolled,-1.0306156109848854,0.16666666663888888,0.33333333327777775,-0.20393569965122826
Single,2nd phase—general contingent,2,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Secondary Education,Service/Sales/Security,Administrative Staff,Yes,No,No,Yes,Female,No,-0.8239760892617984,No,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,1.476924272807967,2.8,-1.7896667428492534,Graduate,0.9828281792545197,0.9999999998571428,0.999999999875,0.5707051682481605
Single,1st phase—general contingent,1,Equiniculture,Daytime,Secondary education,Portuguese,Higher Education Degree,Basic Education 3rd Cycle,Technicians & Professionals,Service/Sales/Security,Yes,No,No,Yes,Female,No,-0.4542357282825717,No,0,5,8,4,12.5,1,0,5,8,4,12.25,2,-0.2876384574425296,1.4,0.7657608350016585,Graduate,-0.1916806983851333,0.79999999984,0.79999999984,0.05557547887453017
Single,1st phase—general contingent,1,Basic Education,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Skilled Industry Workers,Skilled Industry Workers,Yes,No,No,Yes,Female,No,-0.8239760892617984,No,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,1.7397314879516577,0.3,-0.40621112311617363,Enrolled,0.4794672316946684,0.8571428570204082,0.8571428570204082,0.7764398636683038
Single,1st phase—general contingent,3,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Unskilled Workers,Machine Operators,No,No,No,Yes,Female,Yes,-0.26936554779295835,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,-0.17500679380951956,0.6,0.8891263042772198,Graduate,-1.533976558544737,0.0,0.0,0.14207920504978297
Single,3rd phase—general contingent,4,Oral Hygiene,Daytime,Secondary education,Portuguese,Secondary Education,Basic Edu 2nd Cycle,Administrative Staff,Skilled Industry Workers,Yes,No,No,Yes,Female,No,-0.4542357282825717,No,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,0.4256954122332026,3.7,-0.7498720732409514,Enrolled,0.9828281792545197,0.9999999998571428,0.999999999875,0.13775401874102058
Single,1st phase—general contingent,4,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Legislative/Executive Officers,Legislative/Executive Officers,Yes,No,No,Yes,Female,No,-0.8239760892617984,No,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,0.4256954122332026,3.7,-0.7498720732409514,Graduate,0.8150411967345693,0.874999999890625,0.874999999890625,0.14207920504978297
Single,1st phase—general contingent,4,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Secondary Education,Basic Edu 2nd Cycle,Administrative Staff,Skilled Industry Workers,Yes,No,No,Yes,Female,Yes,-0.6391059087721851,No,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,-0.17500679380951956,0.6,0.8891263042772198,Graduate,0.4794672316946684,0.9999999998333333,0.9999999998333333,-0.23482988757096113
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Technicians & Professionals,Skilled Industry Workers,No,No,No,Yes,Female,No,-0.6391059087721851,No,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,-0.17500679380951956,0.6,0.8891263042772198,Graduate,0.6472542142146189,0.8571428570204082,0.874999999890625,0.42498758189341845
Single,1st phase—general contingent,1,Social Service,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Unskilled Workers,Unskilled Workers,Yes,No,Yes,Yes,Female,Yes,-0.8239760892617984,No,0,6,8,5,11.6,0,0,6,12,4,11.0,0,-1.4890428695279747,2.6,0.14012166938988344,Enrolled,-0.02389371586518287,0.8333333331944445,0.6666666665555555,-0.06552973777082363
Single,2nd phase—general contingent,2,Social Service,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Skilled Industry Workers,Machine Operators,Yes,No,No,Yes,Female,No,-0.26936554779295835,No,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,1.7397314879516577,0.3,-0.40621112311617363,Graduate,0.4794672316946684,0.9999999998333333,0.9999999998333333,0.8032148265320725
Single,1st phase—general contingent,1,Veterinary Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Technicians & Professionals,Technicians & Professionals,Yes,No,No,Yes,Female,No,-0.8239760892617984,No,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,-0.8132528877299118,-0.8,-1.3755112388527264,Enrolled,-0.02389371586518287,0.9999999998,0.79999999984,0.2574175066167869
Single,1st phase—general contingent,1,Management,Daytime,Secondary education,Portuguese,General commerce course,Secondary Education,Unskilled Workers,Unskilled Workers,Yes,No,No,Yes,Female,No,-0.4542357282825717,No,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,1.7397314879516577,0.3,-0.40621112311617363,Graduate,0.14389326665476757,0.9999999998,0.9999999998,0.2574175066167869
Single,2nd phase—general contingent,2,Nursing,Daytime,Secondary education,Portuguese,Higher Education Degree,Higher Education Degree,Legislative/Executive Officers,Armed Forces,Yes,No,No,Yes,Male,No,-0.6391059087721851,No,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,1.7397314879516577,0.3,-0.40621112311617363,Enrolled,0.4794672316946684,0.8571428570204082,0.8571428570204082,0.41312421373224295
Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,Portuguese,Master’s Degree,Doctorate,Administrative Staff,Scientific Specialists,No,No,No,Yes,Male,No,-0.26936554779295835,No,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,1.7397314879516577,0.3,-0.40621112311617363,Enrolled,0.14389326665476757,0.8333333331944445,0.8333333331944445,-0.30279710099437457
Single,Change in institution/course,1,Communication Design,Daytime,Secondary education,Portuguese,Basic Edu 1st Cycle,Higher Education Degree,Other Armed Forces,Finance/Admin Specialists,Yes,No,No,Yes,Male,No,-0.4542357282825717,No,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,-1.0009723271182625,1.4,1.545606837207885,Graduate,0.14389326665476757,0.9999999998333333,0.6666666665555555,0.33815431771368926
Single,1st phase—general contingent,1,Management,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Administrative Staff,Farmers/Ag Workers,No,No,No,No,Male,No,-0.8239760892617984,No,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,-1.0009723271182625,1.4,1.545606837207885,Enrolled,-0.6950416459449846,0.59999999988,0.39999999992,0.8917781652353071
Single,3rd phase—general contingent,1,Social Service (evening attendance),Evening,Secondary education,Portuguese,General commerce course,Secondary Education,Unskilled Workers,Service/Sales/Security,Yes,No,No,Yes,Female,No,-0.6391059087721851,No,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,0.3130637486001926,0.5,0.7877903830865802,Graduate,0.4794672316946684,0.9999999998333333,0.9999999998333333,0.7331880005806773
Single,1st phase—general contingent,1,Management (evening attendance),Evening,Secondary education,Portuguese,Bachelor’s Degree,Basic Edu 1st Cycle,Technicians & Professionals,Unskilled Workers,No,No,No,Yes,Male,No,2.1339467985720155,No,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,0.8762220667652447,-0.3,0.347199421388147,Graduate,0.14389326665476757,0.9999999998,0.9999999998,0.49798024988510875
Single,Over 23 years old,1,Biofuel Production Technologies,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 1st Cycle,Unskilled Workers,Farmers/Ag Workers,No,No,Yes,No,Male,No,2.1339467985720155,No,0,7,7,0,0.0,0,0,7,7,1,10.0,0,-1.0009723271182625,1.4,1.545606837207885,Dropout,-1.3661895760247864,0.0,0.1428571428367347,3.602228252059895
Single,Over 23 years old,1,Informatics Engineering,Daytime,11th year—not completed,Portuguese,2nd cycle general high school,Basic Edu 1st Cycle,Student,Student,Yes,No,No,Yes,Male,No,2.1339467985720155,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,-1.4890428695279747,2.6,0.14012166938988344,Dropout,-1.533976558544737,0.0,0.0,0.14207920504978297
Single,Change in course,1,Management,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Farmers/Ag Workers,Farmers/Ag Workers,No,No,No,Yes,Female,No,2.1339467985720155,No,0,5,10,1,10.0,0,0,5,8,2,12.0,2,1.7397314879516577,0.3,-0.40621112311617363,Dropout,-1.0306156109848854,0.19999999996,0.39999999992,0.8341090144518054
Divorced,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Unskilled Workers,Technicians & Professionals,Yes,No,No,Yes,Female,No,2.1339467985720155,No,0,5,8,5,11.0,0,0,5,5,5,11.6,0,-1.4890428695279747,2.6,0.14012166938988344,Graduate,0.14389326665476757,0.9999999998,0.9999999998,0.3496881478703896
Single,Technological specialization diploma holders,1,Equiniculture,Daytime,Technological specialization course,Spanish,Master’s Degree,Master’s Degree,Technicians & Professionals,Farmers/Ag Workers,No,No,Yes,No,Female,No,-0.4542357282825717,Yes,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,0.3130637486001926,0.5,0.7877903830865802,Dropout,-0.5272546634250341,0.49999999991666666,0.49999999991666666,0.2574175066167869
Single,1st phase—general contingent,5,Journalism and Communication,Daytime,Secondary education,Portuguese,Higher Education Degree,Higher Education Degree,Scientific Specialists,Scientific Specialists,No,No,Yes,Yes,Female,No,-0.8239760892617984,No,0,6,6,4,12.75,0,0,5,5,0,0.0,0,0.4256954122332026,3.7,-0.7498720732409514,Dropout,-0.862828628464935,0.6666666665555555,0.0,-4.26961082988811
Single,1st phase—general contingent,2,Management,Daytime,Secondary education,Portuguese,Higher Education Degree,Basic Education 3rd Cycle,Scientific Specialists,Skilled Industry Workers,Yes,No,No,Yes,Female,No,-0.08449536730334498,No,0,5,5,5,14.8,0,0,5,5,5,15.8,0,-1.0009723271182625,1.4,1.545606837207885,Graduate,0.14389326665476757,0.9999999998,0.9999999998,0.4880941097507942
Single,1st phase—general contingent,6,Nursing,Daytime,Secondary education,Portuguese,Secondary Education,Higher Education Degree,Scientific Specialists,Scientific Specialists,Yes,Yes,No,Yes,Female,No,-0.08449536730334498,No,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,-0.17500679380951956,0.6,0.8891263042772198,Graduate,0.4794672316946684,0.7142857141836735,0.874999999890625,0.28562595980003036
Single,2nd phase—general contingent,1,Journalism and Communication,Daytime,Secondary education,Portuguese,Secondary Education,Basic Edu 2nd Cycle,Service/Sales/Security,Service/Sales/Security,No,No,No,No,Female,No,-0.4542357282825717,No,0,6,7,4,13.0,0,0,6,7,5,13.8,0,0.3130637486001926,0.5,0.7877903830865802,Dropout,-0.02389371586518287,0.6666666665555555,0.8333333331944445,0.4188911288105922
Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Female,No,1.2095958961239486,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,1.7397314879516577,0.3,-0.40621112311617363,Dropout,-1.533976558544737,0.0,0.0,0.14207920504978297
Single,2nd phase—general contingent,1,Management (evening attendance),Evening,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 2nd Cycle,Administrative Staff,Service/Sales/Security,No,No,No,Yes,Female,No,0.28524499367588174,No,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,-1.4890428695279747,2.6,0.14012166938988344,Enrolled,-0.6950416459449846,0.39999999992,0.59999999988,1.122454768369315
Single,2nd phase—general contingent,2,Social Service,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Unskilled Workers,Unskilled Workers,Yes,No,No,Yes,Female,No,-0.8239760892617984,No,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,-0.17500679380951956,0.6,0.8891263042772198,Graduate,0.311680249174718,0.9999999998333333,0.8333333331944445,0.6726353922580002
Single,2nd phase—general contingent,6,Nursing,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Education 3rd Cycle,Skilled Industry Workers,Skilled Industry Workers,Yes,No,No,Yes,Female,Yes,-0.08449536730334498,No,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,-0.17500679380951956,0.6,0.8891263042772198,Graduate,0.6472542142146189,0.8571428570204082,0.874999999890625,0.23023062124742216
Single,Technological specialization diploma holders,1,Social Service (evening attendance),Evening,Technological specialization course,Portuguese,Secondary Education,Basic Education 3rd Cycle,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Female,Yes,-0.26936554779295835,No,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,0.3130637486001926,0.5,0.7877903830865802,Graduate,0.4794672316946684,0.9999999998333333,0.9999999998333333,0.7599629634444461
Single,1st phase—general contingent,1,Social Service,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 2nd Cycle,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Female,Yes,-0.6391059087721851,No,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,0.4256954122332026,3.7,-0.7498720732409514,Graduate,0.311680249174718,0.8333333331944445,0.9999999998333333,0.3150866574002886
Single,Over 23 years old,1,Tourism,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Unskilled Workers,Skilled Industry Workers,No,No,No,Yes,Female,Yes,0.28524499367588174,No,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,0.3130637486001926,0.5,0.7877903830865802,Graduate,0.4794672316946684,0.9999999998333333,0.9999999998333333,0.3150866574002886
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 2nd Cycle,Farmers/Ag Workers,Farmers/Ag Workers,Yes,No,No,Yes,Female,Yes,-0.6391059087721851,No,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,-0.8132528877299118,-0.8,-1.3755112388527264,Enrolled,0.4794672316946684,0.74999999990625,0.74999999990625,0.14207920504978297
Single,1st phase—general contingent,1,Journalism and Communication,Daytime,Secondary education,Portuguese,Secondary Education,Basic Education 3rd Cycle,Skilled Industry Workers,Skilled Industry Workers,Yes,No,No,Yes,Female,Yes,-0.4542357282825717,No,0,6,11,4,14.0,0,0,6,12,3,11.0,0,-0.8132528877299118,-0.8,-1.3755112388527264,Enrolled,-0.35946768090508374,0.6666666665555555,0.49999999991666666,-0.8959655090532507
Single,1st phase—general contingent,3,Equiniculture,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Other Situation,Other Situation,No,No,No,Yes,Female,No,-0.6391059087721851,No,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,-1.4890428695279747,2.6,0.14012166938988344,Graduate,0.14389326665476757,0.9999999998,0.9999999998,0.5177525301537386
Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 2nd Cycle,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Female,No,0.8398555351447219,No,0,5,12,5,10.6,0,0,5,10,5,11.0,0,-0.8132528877299118,-0.8,-1.3755112388527264,Dropout,0.14389326665476757,0.9999999998,0.9999999998,0.2804851669301876
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,Secondary Education,Basic Education 3rd Cycle,Service/Sales/Security,Service/Sales/Security,Yes,No,No,Yes,Female,No,-0.8239760892617984,No,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,1.476924272807967,2.8,-1.7896667428492534,Graduate,0.9828281792545197,0.9999999998571428,0.999999999875,0.3325796331379511
Married,Holders of other higher courses,1,Tourism,Daytime,Higher education—degree,Portuguese,Secondary Education,Higher Education Degree,Administrative Staff,Technicians & Professionals,No,No,No,Yes,Female,No,2.1339467985720155,No,0,6,10,0,0.0,0,0,6,6,0,0.0,0,0.3130637486001926,0.5,0.7877903830865802,Dropout,-1.533976558544737,0.0,0.0,0.14207920504978297
Single,Over 23 years old,1,Equiniculture,Daytime,Higher education—degree (1st cycle),Portuguese,Higher Education Degree,Higher Education Degree,Scientific Specialists,Scientific Specialists,Yes,No,No,Yes,Female,No,0.8398555351447219,No,0,6,9,5,13.0,0,5,11,13,10,12.9,0,0.3130637486001926,0.5,0.7877903830865802,Dropout,0.9828281792545197,0.8333333331944445,0.9090909090082645,0.10747771457968197
Single,2nd phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 2nd Cycle,Skilled Industry Workers,Armed Forces,Yes,No,No,Yes,Female,No,-0.8239760892617984,No,0,8,8,8,14.935,0,0,8,8,8,14.935,0,-0.8132528877299118,-0.8,-1.3755112388527264,Graduate,1.1506151617744702,0.999999999875,0.999999999875,0.14207920504978297
Single,1st phase—general contingent,3,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 1st Cycle,Administrative Staff,Unskilled Workers,Yes,No,No,Yes,Female,No,-0.8239760892617984,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,-1.4890428695279747,2.6,0.14012166938988344,Enrolled,-1.533976558544737,0.0,0.0,0.14207920504978297
Single,1st phase—general contingent,2,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Female,No,-0.8239760892617984,No,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,1.7397314879516577,0.3,-0.40621112311617363,Graduate,0.6472542142146189,0.8571428570204082,0.874999999890625,-0.17345343423709134
Single,Technological specialization diploma holders,1,Social Service,Daytime,Technological specialization course,Portuguese,General commerce course,Secondary Education,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Female,Yes,-0.26936554779295835,No,3,6,7,6,12.0,0,2,6,7,6,12.0,0,0.8762220667652447,-0.3,0.347199421388147,Graduate,0.4794672316946684,0.9999999998333333,0.9999999998333333,0.14207920504978297
Single,2nd phase—general contingent,3,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,Secondary Education,Basic Edu 1st Cycle,Administrative Staff,Skilled Industry Workers,Yes,No,No,Yes,Male,Yes,-0.6391059087721851,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,-0.2876384574425296,1.4,0.7657608350016585,Enrolled,-1.533976558544737,0.0,0.0,0.14207920504978297
Single,2nd phase—general contingent,1,Communication Design,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Technicians & Professionals,Administrative Staff,Yes,No,No,Yes,Male,No,-0.6391059087721851,No,0,6,6,5,11.4,0,0,6,8,1,10.0,0,-0.2876384574425296,1.4,0.7657608350016585,Enrolled,-0.5272546634250341,0.8333333331944445,0.16666666663888888,-0.34234166153163287
Single,Change in course,1,Communication Design,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Technicians & Professionals,Technicians & Professionals,No,No,No,Yes,Male,No,0.28524499367588174,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,0.4256954122332026,3.7,-0.7498720732409514,Enrolled,-1.533976558544737,0.0,0.0,0.14207920504978297
Divorced,Transfer,1,Nursing,Daytime,Basic education 3rd cycle,Portuguese,Secondary Education,Secondary Education,Service/Sales/Security,Service/Sales/Security,Yes,No,No,Yes,Male,No,1.2095958961239486,No,2,7,10,5,11.9,0,1,8,10,5,11.0,0,0.8762220667652447,-0.3,0.347199421388147,Dropout,0.14389326665476757,0.7142857141836735,0.624999999921875,-0.16933420918112724
